id,playtime_forever,is_free,price,genres,categories,tags,purchase_date,release_date,total_positive_reviews,total_negative_reviews
0,0.0,False,3700.0,"Adventure,Casual,Indie","Single-player,Steam Trading Cards,Steam Cloud","Indie,Adventure,Story Rich,Casual,Atmospheric,Exploration,First-Person,Stealth,Choices Matter,Singleplayer,Walking Simulator,Short,Drama","Jul 2, 2018","10 Dec, 2013",372.0,96.0
1,0.016666666666666666,True,0.0,RPG,"Single-player,Partial Controller Support","Mod,Utilities,RPG,Game Development,Singleplayer,Free to Play","Nov 26, 2016","12 Aug, 2015",23.0,0.0
2,0.0,False,5000.0,"Adventure,Casual,Indie","Single-player,Full controller support,Steam Trading Cards,Steam Cloud","Point & Click,Adventure,Story Rich,Comedy,Indie,Funny,Kickstarter,Great Soundtrack,Singleplayer,Puzzle,Casual,Female Protagonist,2D,Masterpiece,Classic,Retro,Cult Classic,Crowdfunded,Episodic,Sci-fi","Jul 2, 2018","28 Jan, 2014",3018.0,663.0
3,1.5333333333333334,False,9900.0,"Action,RPG","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Simulation,Hack and Slash,Fantasy,Indie","Nov 28, 2016","31 Mar, 2010",63078.0,1746.0
4,22.333333333333332,False,4800.0,"Action,Indie,Strategy","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller","Mar 4, 2018","30 Jul, 2012",8841.0,523.0
5,2.933333333333333,False,25800.0,RPG,"Single-player,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats","RPG,Open World,Survival,Co-op,Fantasy,Online Co-Op,Adventure,Local Co-Op,Singleplayer,Exploration,Split Screen,Souls-like,Third Person,Atmospheric,Violent,Multiplayer,Difficult,Resource Management,Realistic,Moddable",,"26 Mar, 2019",,
6,2.6166666666666667,False,3600.0,"Action,Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter","Feb 16, 2018","23 Oct, 2012",39776.0,1035.0
7,0.15,True,0.0,Simulation,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer","VR,Simulation,Utilities,Multiplayer","Jan 29, 2018","28 Apr, 2016",33.0,3.0
8,0.016666666666666666,False,4000.0,"Adventure,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","RPG,Turn-Based,Adventure,Fantasy,Great Soundtrack,Anime,Funny,Indie,Singleplayer,Comedy,JRPG,2D,Epic,Strategy,Turn-Based Combat,Action,Casual,Parody,Cats,Cute","Nov 23, 2018","25 Feb, 2014",1875.0,39.0
9,0.016666666666666666,False,8800.0,"Action,Adventure","Single-player,Steam Achievements,SteamVR Collectibles,Steam Cloud","Action,Adventure,VR,Shooter,Puzzle,FPS,First-Person","Dec 22, 2017","17 Oct, 2017",47.0,11.0
10,0.0,False,6800.0,"Action,Adventure","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Hack and Slash,Third Person,Singleplayer,Post-apocalyptic,Fantasy,Controller,Action RPG,Puzzle,Action-Adventure,RPG,Open World,Gore,Beat 'em up,Metroidvania,Spectacle fighter,3D Platformer,Character Action Game,Platformer","Jan 30, 2018","23 Sep, 2010",5893.0,700.0
11,0.0,False,2500.0,"Adventure,Indie,RPG,Strategy","Single-player,Steam Cloud","RPG,Post-apocalyptic,Classic,Turn-Based,Adventure,Strategy,Retro,Sci-fi,Indie,2D,Singleplayer,Old School,CRPG,Masterpiece,Pixel Graphics,Action,Open World,1980s,Great Soundtrack","Jun 23, 2017","13 Nov, 2013",148.0,35.0
12,0.0,True,0.0,Action,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Partial Controller Support","Action,VR,Multiplayer","Jul 20, 2019","11 Dec, 2018",110.0,260.0
